DATE,PM2.5
11-07-2022,49
12-07-2022,44
13-07-2022,39
14-07-2022,45
15-07-2022,55
16-07-2022,50
17-07-2022,35
18-07-2022,44
19-07-2022,44
20-07-2022,37
21-07-2022,37
22-07-2022,40
23-07-2022,43
24-07-2022,33
25-07-2022,38
26-07-2022,42
27-07-2022,47
28-07-2022,58
29-07-2022,43
30-07-2022,31
31-07-2022,33
01-08-2022,34
02-08-2022,40
03-08-2022,50
04-08-2022,37
05-08-2022,41
06-08-2022,32
07-08-2022,48
08-08-2022,23
09-08-2022,29
10-08-2022,37
11-08-2022,47
12-08-2022,39
13-08-2022,38
14-08-2022,34
15-08-2022,31
16-08-2022,28
17-08-2022,25
18-08-2022,35
19-08-2022,31
20-08-2022,32
21-08-2022,32
22-08-2022,34
23-08-2022,27
24-08-2022,31
25-08-2022,36
26-08-2022,45
27-08-2022,51
28-08-2022,49
29-08-2022,55
30-08-2022,70
31-08-2022,68
01-09-2022,59
02-09-2022,79
03-09-2022,83
04-09-2022,57
05-09-2022,36
06-09-2022,48
07-09-2022,58
08-09-2022,57
09-09-2022,63
10-09-2022,54
11-09-2022,67
12-09-2022,40
13-09-2022,32
14-09-2022,20
15-09-2022,27
16-09-2022,29
17-09-2022,28
18-09-2022,31
19-09-2022,57
20-09-2022,67
21-09-2022,61
22-09-2022,62
23-09-2022,71
24-09-2022,43
25-09-2022,30
26-09-2022,52
27-09-2022,56
28-09-2022,77
29-09-2022,79
30-09-2022,83
01-04-2022,155
02-04-2022,144
03-04-2022,126
04-04-2022,110
05-04-2022,105
06-04-2022,105
07-04-2022,108
08-04-2022,110
09-04-2022,77
10-04-2022,73
11-04-2022,79
12-04-2022,101
13-04-2022,96
14-04-2022,81
15-04-2022,74
17-04-2022,69
18-04-2022,71
19-04-2022,73
20-04-2022,85
21-04-2022,125
22-04-2022,132
23-04-2022,124
24-04-2022,87
25-04-2022,110
26-04-2022,77
27-04-2022,77
28-04-2022,91
29-04-2022,70
30-04-2022,70
01-05-2022,62
02-05-2022,65
03-05-2022,70
04-05-2022,76
05-05-2022,76
06-05-2022,105
07-05-2022,120
08-05-2022,94
09-05-2022,75
10-05-2022,73
11-05-2022,74
12-05-2022,71
13-05-2022,81
14-05-2022,98
15-05-2022,71
16-05-2022,78
17-05-2022,124
18-05-2022,154
19-05-2022,156
20-05-2022,112
21-05-2022,89
22-05-2022,58
23-05-2022,47
24-05-2022,54
25-05-2022,56
26-05-2022,58
27-05-2022,46
28-05-2022,37
29-05-2022,43
30-05-2022,51
31-05-2022,53
01-06-2022,54
02-06-2022,60
03-06-2022,65
04-06-2022,51
05-06-2022,45
06-06-2022,48
07-06-2022,45
08-06-2022,29
09-06-2022,33
10-06-2022,53
11-06-2022,27
12-06-2022,28
13-06-2022,36
14-06-2022,49
15-06-2022,43
16-06-2022,56
17-06-2022,52
18-06-2022,50
19-06-2022,33
20-06-2022,34
21-06-2022,40
22-06-2022,48
23-06-2022,42
24-06-2022,55
25-06-2022,40
26-06-2022,32
27-06-2022,44
28-06-2022,57
29-06-2022,64
30-06-2022,46
03-01-2022,159
04-01-2022,165
05-01-2022,174
06-01-2022,152
07-01-2022,165
08-01-2022,139
09-01-2022,81
10-01-2022,104
11-01-2022,162
12-01-2022,154
13-01-2022,168
14-01-2022,170
15-01-2022,161
16-01-2022,152
