DATE,PM2.5
16-04-2023,157
17-04-2023,165
18-04-2023,149
19-04-2023,130
20-04-2023,138
21-04-2023,144
22-04-2023,150
23-04-2023,80
24-04-2023,95
25-04-2023,132
26-04-2023,141
27-04-2023,109
28-04-2023,114
29-04-2023,113
30-04-2023,96
01-05-2023,109
02-05-2023,105
03-05-2023,99
04-05-2023,73
05-05-2023,82
06-05-2023,124
07-05-2023,116
08-05-2023,115
09-05-2023,131
10-05-2023,118
11-05-2023,92
12-05-2023,87
13-05-2023,79
14-05-2023,98
15-05-2023,89
16-05-2023,100
17-05-2023,87
18-05-2023,72
19-05-2023,93
20-05-2023,78
22-05-2023,98
23-05-2023,102
24-05-2023,80
25-05-2023,91
26-05-2023,68
27-05-2023,92
28-05-2023,110
29-05-2023,139
30-05-2023,127
31-05-2023,124
01-06-2023,139
02-06-2023,147
03-06-2023,143
04-06-2023,133
05-06-2023,126
06-06-2023,125
07-06-2023,133
08-06-2023,121
09-06-2023,102
12-06-2023,67
13-06-2023,108
14-06-2023,108
15-06-2023,104
16-06-2023,103
17-06-2023,95
18-06-2023,84
19-06-2023,79
20-06-2023,81
21-06-2023,78
22-06-2023,72
23-06-2023,46
24-06-2023,58
25-06-2023,46
26-06-2023,49
27-06-2023,33
28-06-2023,51
29-06-2023,67
30-06-2023,76
02-01-2023,217
03-01-2023,260
04-01-2023,212
05-01-2023,235
06-01-2023,228
07-01-2023,277
08-01-2023,273
09-01-2023,257
10-01-2023,216
11-01-2023,254
12-01-2023,255
13-01-2023,247
14-01-2023,188
15-01-2023,226
16-01-2023,214
17-01-2023,214
18-01-2023,241
21-01-2023,319
22-01-2023,328
23-01-2023,272
24-01-2023,277
25-01-2023,248
26-01-2023,202
27-01-2023,217
28-01-2023,208
29-01-2023,188
30-01-2023,214
31-01-2023,270
01-02-2023,194
02-02-2023,174
03-02-2023,199
04-02-2023,243
05-02-2023,212
06-02-2023,220
07-02-2023,166
08-02-2023,158
09-02-2023,180
10-02-2023,201
11-02-2023,179
12-02-2023,169
13-02-2023,148
14-02-2023,190
15-02-2023,228
16-02-2023,225
17-02-2023,178
18-02-2023,167
19-02-2023,161
20-02-2023,147
21-02-2023,152
22-02-2023,159
23-02-2023,149
24-02-2023,162
25-02-2023,175
26-02-2023,193
27-02-2023,170
28-02-2023,169
01-03-2023,162
02-03-2023,166
03-03-2023,166
04-03-2023,171
05-03-2023,172
06-03-2023,163
07-03-2023,153
08-03-2023,166
09-03-2023,167
10-03-2023,181
11-03-2023,160
12-03-2023,189
13-03-2023,189
14-03-2023,176
15-03-2023,167
16-03-2023,159
17-03-2023,164
18-03-2023,195
19-03-2023,96
20-03-2023,70
21-03-2023,104
22-03-2023,143
23-03-2023,118
24-03-2023,135
25-03-2023,99
26-03-2023,99
27-03-2023,145
28-03-2023,144
29-03-2023,101
30-03-2023,94
31-03-2023,121
01-10-2022,134
02-10-2022,87
03-10-2022,65
04-10-2022,40
05-10-2022,34
06-10-2022,36
07-10-2022,53
08-10-2022,66
09-10-2022,43
10-10-2022,42
11-10-2022,49
12-10-2022,56
13-10-2022,90
14-10-2022,119
15-10-2022,132
16-10-2022,137
17-10-2022,151
18-10-2022,153
19-10-2022,159
20-10-2022,163
21-10-2022,163
22-10-2022,152
23-10-2022,142
24-10-2022,66
25-10-2022,79
26-10-2022,134
27-10-2022,159
28-10-2022,176
29-10-2022,159
30-10-2022,143
31-10-2022,140
01-11-2022,157
02-11-2022,153
03-11-2022,165
04-11-2022,179
05-11-2022,190
06-11-2022,178
07-11-2022,175
08-11-2022,168
09-11-2022,193
10-11-2022,159
11-11-2022,181
12-11-2022,219
13-11-2022,195
14-11-2022,202
15-11-2022,196
16-11-2022,221
17-11-2022,247
18-11-2022,214
20-11-2022,177
21-11-2022,175
22-11-2022,210
23-11-2022,243
24-11-2022,229
25-11-2022,223
26-11-2022,219
27-11-2022,241
28-11-2022,222
29-11-2022,184
30-11-2022,187
01-12-2022,200
02-12-2022,215
03-12-2022,240
04-12-2022,227
05-12-2022,213
06-12-2022,198
07-12-2022,250
08-12-2022,231
09-12-2022,230
10-12-2022,191
11-12-2022,241
12-12-2022,250
13-12-2022,275
14-12-2022,257
