DATE,PM2.5,City, PM10, O3, NO2, SO2, CO
02-06-2024,76,Kolkata,,,,,
03-06-2024,77,Kolkata,,,,,
04-06-2024,85,Kolkata,,,,,
05-06-2024,110,Kolkata,,,,,
06-06-2024,126,Kolkata,,,,,
07-06-2024,108,Kolkata,,,,,
08-06-2024,98,Kolkata,,,,,
09-06-2024,100,Kolkata,,,,,
10-06-2024,95,Kolkata,,,,,
11-06-2024,71,Kolkata,,,,,
12-06-2024,88,Kolkata,,,,,
13-06-2024,92,Kolkata,,,,,
14-06-2024,109,Kolkata,,,,,
15-06-2024,97,Kolkata,,,,,
16-06-2024,88,Kolkata,,,,,
17-06-2024,93,Kolkata,,,,,
18-06-2024,98,Kolkata,,,,,
19-06-2024,93,Kolkata,,,,,
20-06-2024,77,Kolkata,,,,,
21-06-2024,89,Kolkata,,,,,
22-06-2024,61,Kolkata,,,,,
23-06-2024,52,Kolkata,,,,,
24-06-2024,69,Kolkata,,,,,
25-06-2024,73,Kolkata,,,,,
26-06-2024,50,Kolkata,,,,,
27-06-2024,28,Kolkata,,,,,
28-06-2024,45,Kolkata,,,,,
29-06-2024,60,Kolkata,,,,,
30-06-2024,93,Kolkata,,,,,
01-01-2024,224,Kolkata,,,,,
02-01-2024,226,Kolkata,,,,,
03-01-2024,208,Kolkata,,,,,
04-01-2024,224,Kolkata,,,,,
05-01-2024,250,Kolkata,,,,,
06-01-2024,225,Kolkata,,,,,
07-01-2024,250,Kolkata,,,,,
08-01-2024,260,Kolkata,,,,,
09-01-2024,237,Kolkata,,,,,
10-01-2024,262,Kolkata,,,,,
11-01-2024,240,Kolkata,,,,,
12-01-2024,234,Kolkata,,,,,
13-01-2024,248,Kolkata,,,,,
14-01-2024,299,Kolkata,,,,,
16-01-2024,243,Kolkata,,,,,
17-01-2024,219,Kolkata,,,,,
18-01-2024,228,Kolkata,,,,,
19-01-2024,214,Kolkata,,,,,
20-01-2024,258,Kolkata,,,,,
21-01-2024,295,Kolkata,,,,,
22-01-2024,274,Kolkata,,,,,
23-01-2024,279,Kolkata,,,,,
24-01-2024,240,Kolkata,,,,,
25-01-2024,230,Kolkata,,,,,
26-01-2024,260,Kolkata,,,,,
27-01-2024,217,Kolkata,,,,,
28-01-2024,228,Kolkata,,,,,
29-01-2024,217,Kolkata,,,,,
30-01-2024,183,Kolkata,,,,,
31-01-2024,173,Kolkata,,,,,
01-02-2024,169,Kolkata,,,,,
02-02-2024,184,Kolkata,,,,,
03-02-2024,179,Kolkata,,,,,
04-02-2024,201,Kolkata,,,,,
07-02-2024,169,Kolkata,,,,,
08-02-2024,167,Kolkata,,,,,
09-02-2024,165,Kolkata,,,,,
10-02-2024,186,Kolkata,,,,,
11-02-2024,210,Kolkata,,,,,
12-02-2024,232,Kolkata,,,,,
13-02-2024,230,Kolkata,,,,,
14-02-2024,219,Kolkata,,,,,
15-02-2024,224,Kolkata,,,,,
16-02-2024,208,Kolkata,,,,,
17-02-2024,217,Kolkata,,,,,
18-02-2024,183,Kolkata,,,,,
19-02-2024,161,Kolkata,,,,,
20-02-2024,157,Kolkata,,,,,
21-02-2024,157,Kolkata,,,,,
22-02-2024,174,Kolkata,,,,,
23-02-2024,146,Kolkata,,,,,
24-02-2024,162,Kolkata,,,,,
27-02-2024,174,Kolkata,,,,,
28-02-2024,175,Kolkata,,,,,
29-02-2024,187,Kolkata,,,,,
01-03-2024,177,Kolkata,,,,,
02-03-2024,182,Kolkata,,,,,
03-03-2024,167,Kolkata,,,,,
04-03-2024,163,Kolkata,,,,,
05-03-2024,162,Kolkata,,,,,
06-03-2024,157,Kolkata,,,,,
07-03-2024,171,Kolkata,,,,,
08-03-2024,162,Kolkata,,,,,
09-03-2024,166,Kolkata,,,,,
10-03-2024,163,Kolkata,,,,,
11-03-2024,171,Kolkata,,,,,
12-03-2024,156,Kolkata,,,,,
13-03-2024,140,Kolkata,,,,,
14-03-2024,132,Kolkata,,,,,
15-03-2024,149,Kolkata,,,,,
16-03-2024,123,Kolkata,,,,,
21-03-2024,136,Kolkata,,,,,
22-03-2024,160,Kolkata,,,,,
23-03-2024,156,Kolkata,,,,,
24-03-2024,111,Kolkata,,,,,
25-03-2024,113,Kolkata,,,,,
26-03-2024,93,Kolkata,,,,,
27-03-2024,113,Kolkata,,,,,
28-03-2024,127,Kolkata,,,,,
29-03-2024,129,Kolkata,,,,,
30-03-2024,109,Kolkata,,,,,
31-03-2024,126,Kolkata,,,,,
04-10-2023,63,Kolkata,,,,,
05-10-2023,111,Kolkata,,,,,
06-10-2023,104,Kolkata,,,,,
07-10-2023,130,Kolkata,,,,,
08-10-2023,141,Kolkata,,,,,
09-10-2023,155,Kolkata,,,,,
10-10-2023,163,Kolkata,,,,,
11-10-2023,167,Kolkata,,,,,
12-10-2023,168,Kolkata,,,,,
13-10-2023,159,Kolkata,,,,,
14-10-2023,163,Kolkata,,,,,
15-10-2023,162,Kolkata,,,,,
16-10-2023,170,Kolkata,,,,,
17-10-2023,186,Kolkata,,,,,
18-10-2023,169,Kolkata,,,,,
19-10-2023,153,Kolkata,,,,,
20-10-2023,141,Kolkata,,,,,
21-10-2023,145,Kolkata,,,,,
22-10-2023,141,Kolkata,,,,,
25-10-2023,123,Kolkata,,,,,
26-10-2023,151,Kolkata,,,,,
27-10-2023,165,Kolkata,,,,,
28-10-2023,176,Kolkata,,,,,
29-10-2023,170,Kolkata,,,,,
30-10-2023,171,Kolkata,,,,,
31-10-2023,167,Kolkata,,,,,
01-11-2023,163,Kolkata,,,,,
02-11-2023,173,Kolkata,,,,,
03-11-2023,187,Kolkata,,,,,
04-11-2023,160,Kolkata,,,,,
05-11-2023,181,Kolkata,,,,,
06-11-2023,188,Kolkata,,,,,
07-11-2023,203,Kolkata,,,,,
08-11-2023,219,Kolkata,,,,,
09-11-2023,247,Kolkata,,,,,
10-11-2023,262,Kolkata,,,,,
11-11-2023,253,Kolkata,,,,,
12-11-2023,258,Kolkata,,,,,
13-11-2023,175,Kolkata,,,,,
14-11-2023,171,Kolkata,,,,,
15-11-2023,156,Kolkata,,,,,
16-11-2023,153,Kolkata,,,,,
17-11-2023,77,Kolkata,,,,,
18-11-2023,96,Kolkata,,,,,
19-11-2023,128,Kolkata,,,,,
20-11-2023,151,Kolkata,,,,,
21-11-2023,187,Kolkata,,,,,
22-11-2023,229,Kolkata,,,,,
23-11-2023,253,Kolkata,,,,,
24-11-2023,264,Kolkata,,,,,
25-11-2023,208,Kolkata,,,,,
26-11-2023,179,Kolkata,,,,,
27-11-2023,211,Kolkata,,,,,
28-11-2023,173,Kolkata,,,,,
29-11-2023,214,Kolkata,,,,,
30-11-2023,205,Kolkata,,,,,
01-12-2023,153,Kolkata,,,,,
02-12-2023,169,Kolkata,,,,,
06-12-2023,173,Kolkata,,,,,
07-12-2023,114,Kolkata,,,,,
08-12-2023,103,Kolkata,,,,,
09-12-2023,186,Kolkata,,,,,
10-12-2023,210,Kolkata,,,,,
11-12-2023,197,Kolkata,,,,,
12-12-2023,225,Kolkata,,,,,
13-12-2023,203,Kolkata,,,,,
14-12-2023,219,Kolkata,,,,,
15-12-2023,279,Kolkata,,,,,
16-12-2023,246,Kolkata,,,,,
17-12-2023,259,Kolkata,,,,,
18-12-2023,243,Kolkata,,,,,
19-12-2023,231,Kolkata,,,,,
20-12-2023,213,Kolkata,,,,,
21-12-2023,200,Kolkata,,,,,
22-12-2023,234,Kolkata,,,,,
23-12-2023,210,Kolkata,,,,,
24-12-2023,229,Kolkata,,,,,
25-12-2023,322,Kolkata,,,,,
26-12-2023,209,Kolkata,,,,,
27-12-2023,221,Kolkata,,,,,
28-12-2023,228,Kolkata,,,,,
29-12-2023,211,Kolkata,,,,,
30-12-2023,215,Kolkata,,,,,
31-12-2023,207,Kolkata,,,,,
03-07-2023,79,Kolkata,,,,,
04-07-2023,51,Kolkata,,,,,
05-07-2023,26,Kolkata,,,,,
06-07-2023,33,Kolkata,,,,,
07-07-2023,43,Kolkata,,,,,
08-07-2023,49,Kolkata,,,,,
09-07-2023,68,Kolkata,,,,,
10-07-2023,76,Kolkata,,,,,
11-07-2023,56,Kolkata,,,,,
12-07-2023,43,Kolkata,,,,,
13-07-2023,32,Kolkata,,,,,
14-07-2023,66,Kolkata,,,,,
15-07-2023,52,Kolkata,,,,,
16-07-2023,53,Kolkata,,,,,
17-07-2023,46,Kolkata,,,,,
18-07-2023,43,Kolkata,,,,,
19-07-2023,35,Kolkata,,,,,
20-07-2023,28,Kolkata,,,,,
21-07-2023,30,Kolkata,,,,,
24-07-2023,45,Kolkata,,,,,
25-07-2023,34,Kolkata,,,,,
26-07-2023,34,Kolkata,,,,,
27-07-2023,39,Kolkata,,,,,
28-07-2023,38,Kolkata,,,,,
29-07-2023,51,Kolkata,,,,,
30-07-2023,58,Kolkata,,,,,
31-07-2023,88,Kolkata,,,,,
01-08-2023,64,Kolkata,,,,,
02-08-2023,34,Kolkata,,,,,
03-08-2023,67,Kolkata,,,,,
04-08-2023,74,Kolkata,,,,,
05-08-2023,79,Kolkata,,,,,
06-08-2023,88,Kolkata,,,,,
07-08-2023,89,Kolkata,,,,,
08-08-2023,111,Kolkata,,,,,
09-08-2023,133,Kolkata,,,,,
10-08-2023,139,Kolkata,,,,,
11-08-2023,122,Kolkata,,,,,
12-08-2023,114,Kolkata,,,,,
13-08-2023,105,Kolkata,,,,,
14-08-2023,127,Kolkata,,,,,
15-08-2023,144,Kolkata,,,,,
16-08-2023,127,Kolkata,,,,,
17-08-2023,111,Kolkata,,,,,
18-08-2023,64,Kolkata,,,,,
19-08-2023,42,Kolkata,,,,,
21-08-2023,74,Kolkata,,,,,
22-08-2023,85,Kolkata,,,,,
23-08-2023,80,Kolkata,,,,,
24-08-2023,75,Kolkata,,,,,
25-08-2023,84,Kolkata,,,,,
26-08-2023,101,Kolkata,,,,,
27-08-2023,129,Kolkata,,,,,
28-08-2023,157,Kolkata,,,,,
29-08-2023,163,Kolkata,,,,,
30-08-2023,163,Kolkata,,,,,
31-08-2023,155,Kolkata,,,,,
01-09-2023,157,Kolkata,,,,,
02-09-2023,137,Kolkata,,,,,
03-09-2023,112,Kolkata,,,,,
04-09-2023,65,Kolkata,,,,,
05-09-2023,49,Kolkata,,,,,
06-09-2023,41,Kolkata,,,,,
07-09-2023,38,Kolkata,,,,,
08-09-2023,54,Kolkata,,,,,
09-09-2023,61,Kolkata,,,,,
11-09-2023,64,Kolkata,,,,,
12-09-2023,74,Kolkata,,,,,
13-09-2023,52,Kolkata,,,,,
14-09-2023,43,Kolkata,,,,,
15-09-2023,58,Kolkata,,,,,
16-09-2023,65,Kolkata,,,,,
17-09-2023,67,Kolkata,,,,,
18-09-2023,74,Kolkata,,,,,
19-09-2023,38,Kolkata,,,,,
20-09-2023,50,Kolkata,,,,,
21-09-2023,59,Kolkata,,,,,
22-09-2023,62,Kolkata,,,,,
23-09-2023,61,Kolkata,,,,,
24-09-2023,67,Kolkata,,,,,
25-09-2023,73,Kolkata,,,,,
26-09-2023,67,Kolkata,,,,,
27-09-2023,87,Kolkata,,,,,
28-09-2023,113,Kolkata,,,,,
29-09-2023,138,Kolkata,,,,,
30-09-2023,70,Kolkata,,,,,
01-04-2023,102,Kolkata,,,,,
02-04-2023,98,Kolkata,,,,,
03-04-2023,119,Kolkata,,,,,
04-04-2023,102,Kolkata,,,,,
05-04-2023,120,Kolkata,,,,,
06-04-2023,150,Kolkata,,,,,
07-04-2023,149,Kolkata,,,,,
08-04-2023,160,Kolkata,,,,,
09-04-2023,159,Kolkata,,,,,
10-04-2023,165,Kolkata,,,,,
11-04-2023,165,Kolkata,,,,,
12-04-2023,151,Kolkata,,,,,
13-04-2023,156,Kolkata,,,,,
14-04-2023,156,Kolkata,,,,,
15-04-2023,163,Kolkata,,,,,
16-04-2023,157,Kolkata,,,,,
17-04-2023,165,Kolkata,,,,,
18-04-2023,149,Kolkata,,,,,
19-04-2023,130,Kolkata,,,,,
20-04-2023,138,Kolkata,,,,,
21-04-2023,144,Kolkata,,,,,
22-04-2023,150,Kolkata,,,,,
23-04-2023,80,Kolkata,,,,,
24-04-2023,95,Kolkata,,,,,
25-04-2023,132,Kolkata,,,,,
26-04-2023,141,Kolkata,,,,,
27-04-2023,109,Kolkata,,,,,
28-04-2023,114,Kolkata,,,,,
29-04-2023,113,Kolkata,,,,,
30-04-2023,96,Kolkata,,,,,
01-05-2023,109,Kolkata,,,,,
02-05-2023,105,Kolkata,,,,,
03-05-2023,99,Kolkata,,,,,
04-05-2023,73,Kolkata,,,,,
05-05-2023,82,Kolkata,,,,,
06-05-2023,124,Kolkata,,,,,
07-05-2023,116,Kolkata,,,,,
08-05-2023,115,Kolkata,,,,,
09-05-2023,131,Kolkata,,,,,
10-05-2023,118,Kolkata,,,,,
11-05-2023,92,Kolkata,,,,,
12-05-2023,87,Kolkata,,,,,
13-05-2023,79,Kolkata,,,,,
14-05-2023,98,Kolkata,,,,,
15-05-2023,89,Kolkata,,,,,
16-05-2023,100,Kolkata,,,,,
17-05-2023,87,Kolkata,,,,,
18-05-2023,72,Kolkata,,,,,
19-05-2023,93,Kolkata,,,,,
20-05-2023,78,Kolkata,,,,,
22-05-2023,98,Kolkata,,,,,
23-05-2023,102,Kolkata,,,,,
24-05-2023,80,Kolkata,,,,,
25-05-2023,91,Kolkata,,,,,
26-05-2023,68,Kolkata,,,,,
27-05-2023,92,Kolkata,,,,,
28-05-2023,110,Kolkata,,,,,
29-05-2023,139,Kolkata,,,,,
30-05-2023,127,Kolkata,,,,,
31-05-2023,124,Kolkata,,,,,
01-06-2023,139,Kolkata,,,,,
02-06-2023,147,Kolkata,,,,,
03-06-2023,143,Kolkata,,,,,
04-06-2023,133,Kolkata,,,,,
05-06-2023,126,Kolkata,,,,,
06-06-2023,125,Kolkata,,,,,
07-06-2023,133,Kolkata,,,,,
08-06-2023,121,Kolkata,,,,,
09-06-2023,102,Kolkata,,,,,
12-06-2023,67,Kolkata,,,,,
13-06-2023,108,Kolkata,,,,,
14-06-2023,108,Kolkata,,,,,
15-06-2023,104,Kolkata,,,,,
16-06-2023,103,Kolkata,,,,,
17-06-2023,95,Kolkata,,,,,
18-06-2023,84,Kolkata,,,,,
19-06-2023,79,Kolkata,,,,,
20-06-2023,81,Kolkata,,,,,
21-06-2023,78,Kolkata,,,,,
22-06-2023,72,Kolkata,,,,,
23-06-2023,46,Kolkata,,,,,
24-06-2023,58,Kolkata,,,,,
25-06-2023,46,Kolkata,,,,,
26-06-2023,49,Kolkata,,,,,
27-06-2023,33,Kolkata,,,,,
28-06-2023,51,Kolkata,,,,,
29-06-2023,67,Kolkata,,,,,
30-06-2023,76,Kolkata,,,,,
02-01-2023,217,Kolkata,,,,,
03-01-2023,260,Kolkata,,,,,
04-01-2023,212,Kolkata,,,,,
05-01-2023,235,Kolkata,,,,,
06-01-2023,228,Kolkata,,,,,
07-01-2023,277,Kolkata,,,,,
08-01-2023,273,Kolkata,,,,,
09-01-2023,257,Kolkata,,,,,
10-01-2023,216,Kolkata,,,,,
11-01-2023,254,Kolkata,,,,,
12-01-2023,255,Kolkata,,,,,
13-01-2023,247,Kolkata,,,,,
14-01-2023,188,Kolkata,,,,,
15-01-2023,226,Kolkata,,,,,
16-01-2023,214,Kolkata,,,,,
17-01-2023,214,Kolkata,,,,,
18-01-2023,241,Kolkata,,,,,
21-01-2023,319,Kolkata,,,,,
22-01-2023,328,Kolkata,,,,,
23-01-2023,272,Kolkata,,,,,
24-01-2023,277,Kolkata,,,,,
25-01-2023,248,Kolkata,,,,,
26-01-2023,202,Kolkata,,,,,
27-01-2023,217,Kolkata,,,,,
28-01-2023,208,Kolkata,,,,,
29-01-2023,188,Kolkata,,,,,
30-01-2023,214,Kolkata,,,,,
31-01-2023,270,Kolkata,,,,,
01-02-2023,194,Kolkata,,,,,
02-02-2023,174,Kolkata,,,,,
03-02-2023,199,Kolkata,,,,,
04-02-2023,243,Kolkata,,,,,
05-02-2023,212,Kolkata,,,,,
06-02-2023,220,Kolkata,,,,,
07-02-2023,166,Kolkata,,,,,
08-02-2023,158,Kolkata,,,,,
09-02-2023,180,Kolkata,,,,,
10-02-2023,201,Kolkata,,,,,
11-02-2023,179,Kolkata,,,,,
12-02-2023,169,Kolkata,,,,,
13-02-2023,148,Kolkata,,,,,
14-02-2023,190,Kolkata,,,,,
15-02-2023,228,Kolkata,,,,,
